Customer_ID,Name,Age,Region,Plan_Type,Monthly_Fee,Signup_Date,Last_Active_Date,Churned,Churn_Date,Support_Tickets,Avg_Usage_Hours_per_Week
CUST0001,Kashvi Patel,43,Karnataka,Standard,199,2024-10-05,2025-08-16,1,2025-06-21,7,7.17
CUST0002,Karan Keer,54,Karnataka,Premium,999,2025-11-02,2026-03-02,1,2026-01-26,9,1.06
CUST0003,Bhavini Kaul,47,West Bengal,Standard,999,2024-07-04,2025-04-25,0,,3,3.63
CUST0004,Balhaar Chopra,49,Maharashtra,Basic,399,2024-10-28,2025-11-19,0,,10,11.84
CUST0005,Hredhaan Vaidya,32,West Bengal,Premium,999,2024-06-04,2024-11-09,1,2026-03-10,10,8.83
CUST0006,Banjeet Pathak,25,Karnataka,Standard,599,2024-05-20,2025-12-02,1,2025-07-03,8,8.89
CUST0007,Amara Venkataraman,23,West Bengal,Basic,999,2025-03-25,2026-02-08,0,,5,17.13
CUST0008,Aditya Saraf,24,Karnataka,Standard,599,2025-02-14,2025-11-03,1,2025-11-20,8,15.86
CUST0009,Watika Sule,62,Tamil Nadu,Standard,999,2025-03-02,2026-02-26,0,,8,8.82
CUST0010,Gunbir Sood,53,Karnataka,Standard,599,2024-05-16,2024-12-04,1,2024-09-06,8,9.43
CUST0011,Priya Chokshi,21,Tamil Nadu,Premium,199,2026-01-29,2026-03-04,0,,3,2.92
CUST0012,Elijah Lata,29,Tamil Nadu,Basic,599,2025-06-09,2025-11-17,1,2025-10-05,4,5.33
CUST0013,Garima Chahal,43,Delhi,Basic,399,2025-01-16,2025-11-13,1,2025-04-06,3,6.54
CUST0014,Ishani Prabhu,18,Maharashtra,Basic,199,2025-04-09,2025-06-23,1,2025-08-17,9,3.47
CUST0015,Praneel Hora,63,West Bengal,Standard,199,2026-02-19,2026-03-30,0,,4,7.43
CUST0016,Rachita Dhar,60,West Bengal,Basic,199,2024-10-09,2025-05-18,1,2025-03-26,5,17.69
CUST0017,Januja Sodhi,30,Maharashtra,Standard,399,2024-06-25,2025-02-07,0,,1,13.48
CUST0018,Elijah Reddy,50,Maharashtra,Standard,599,2025-03-06,2025-05-27,0,,2,3.06
CUST0019,Hemal Chanda,60,Delhi,Standard,999,2024-10-04,2025-04-15,1,2025-03-17,5,4.23
CUST0020,Zaitra Khanna,37,Tamil Nadu,Basic,999,2024-11-10,2025-09-07,1,2025-12-05,6,13.06
CUST0021,Ishani Seshadri,39,Karnataka,Standard,999,2025-07-22,2025-11-29,1,2025-08-07,5,3.84
CUST0022,Harshil Savant,23,Maharashtra,Standard,599,2025-01-18,2025-05-30,1,2026-02-18,6,14.75
CUST0023,Urmi Mammen,56,Maharashtra,Basic,399,2024-10-24,2025-12-30,0,,8,17.97
CUST0024,Hemang Patla,60,Maharashtra,Basic,599,2024-06-09,2024-12-06,1,2024-09-25,6,2.39
CUST0025,Charita Sha,32,Maharashtra,Basic,399,2025-01-06,2025-08-08,0,,9,15.72
CUST0026,Aashi Behl,42,Karnataka,Premium,399,2024-06-18,2024-08-21,0,,4,13.13
CUST0027,Yash Sehgal,65,Delhi,Premium,399,2024-07-14,2025-12-09,1,2024-12-27,0,4.49
CUST0028,Oscar Bail,51,Delhi,Basic,399,2025-11-19,2025-12-16,0,,9,16.81
CUST0029,Vedhika Arya,47,West Bengal,Premium,399,2024-06-01,2025-01-27,0,,2,9.39
CUST0030,Pooja Oza,37,West Bengal,Standard,199,2025-04-27,2025-06-15,1,2025-08-21,2,12.6
CUST0031,Reva Magar,33,Maharashtra,Standard,199,2025-09-28,2025-11-16,0,,0,16.82
CUST0032,Madhavi Misra,64,Tamil Nadu,Basic,599,2025-09-08,2026-02-01,0,,1,3.24
CUST0033,Rushil Wali,63,Delhi,Basic,199,2025-06-08,2025-11-17,1,2025-06-15,4,10.63
CUST0034,Zaitra Mannan,31,Karnataka,Premium,199,2025-01-11,2026-01-14,1,2026-03-27,4,13.62
CUST0035,Tristan Vasa,58,West Bengal,Basic,999,2024-10-22,2025-02-20,0,,9,18.31
CUST0036,Andrew Thaman,26,Maharashtra,Standard,199,2025-02-08,2025-04-06,0,,10,14.63
CUST0037,Nikita Madan,51,Maharashtra,Standard,599,2025-06-15,2025-11-19,0,,9,12.2
CUST0038,Upkaar Khanna,42,Delhi,Basic,999,2024-08-23,2025-11-15,0,,4,18.44
CUST0039,Adya Wadhwa,63,West Bengal,Standard,399,2025-03-10,2025-06-21,1,2025-03-23,7,12.14
CUST0040,Upkaar Mutti,34,Maharashtra,Premium,999,2025-05-25,2025-06-09,1,2026-01-13,9,16.77
CUST0041,Omya Parsa,37,Tamil Nadu,Premium,399,2025-06-23,2026-01-11,0,,0,9.5
CUST0042,Dhriti Bora,37,Karnataka,Standard,599,2024-09-28,2025-03-07,0,,8,19.9
CUST0043,Vasana Sama,47,West Bengal,Premium,599,2025-08-29,2026-02-17,1,2026-01-24,5,16.71
CUST0044,Ekani Baral,57,Karnataka,Premium,199,2025-11-01,2026-03-02,1,2026-03-11,4,3.97
CUST0045,Faqid Loke,28,Tamil Nadu,Basic,999,2024-05-01,2025-01-16,1,2024-12-08,6,5.12
CUST0046,Garima Deshpande,20,Maharashtra,Premium,599,2024-07-03,2025-12-05,0,,4,19.81
CUST0047,Udarsh Dhaliwal,64,Karnataka,Premium,199,2026-02-16,2026-03-25,0,,1,7.89
CUST0048,Zayan Vig,42,West Bengal,Premium,599,2024-11-02,2026-03-21,0,,10,5.39
CUST0049,Ati Rau,62,West Bengal,Premium,999,2026-03-01,2026-03-04,0,,2,8.36
CUST0050,Qarin Garg,49,Delhi,Premium,199,2025-08-31,2026-02-28,1,2026-01-05,5,8.92
CUST0051,Mohini Sachar,44,West Bengal,Premium,399,2024-04-01,2025-05-10,1,2024-08-19,10,10.79
CUST0052,Tanish Ghosh,41,West Bengal,Basic,599,2025-11-17,2025-11-17,0,,6,6.87
CUST0053,Tanvi Ghosh,45,West Bengal,Standard,999,2025-09-23,2025-12-09,0,,8,17.77
CUST0054,Nitara Joshi,54,Karnataka,Basic,199,2024-08-16,2024-11-06,1,2024-11-01,8,19.34
CUST0055,Kalpit Natt,42,West Bengal,Premium,599,2025-11-16,2026-01-15,0,,9,2.92
CUST0056,Mason Bahl,39,Maharashtra,Standard,199,2024-08-12,2025-03-21,0,,2,2.84
CUST0057,Kashish Rao,21,Karnataka,Premium,999,2024-11-11,2025-12-07,0,,5,16.25
CUST0058,Harinakshi Srinivasan,56,Tamil Nadu,Standard,599,2025-08-28,2026-03-27,1,2025-11-16,3,5.28
CUST0059,Charvi Buch,29,Karnataka,Basic,199,2025-05-01,2026-03-10,0,,3,3.09
CUST0060,Avi Lalla,59,Tamil Nadu,Basic,599,2024-08-11,2025-09-20,0,,5,8.11
CUST0061,Darsh Vora,63,Maharashtra,Premium,199,2024-05-28,2025-06-29,1,2024-07-15,7,4.08
CUST0062,Jack Ram,49,Karnataka,Premium,199,2026-02-18,2026-03-01,0,,2,2.88
CUST0063,Oni De,50,Maharashtra,Premium,999,2025-10-18,2026-03-20,1,2026-01-17,9,7.08
CUST0064,Robert Sathe,23,West Bengal,Standard,999,2025-08-25,2025-10-25,0,,4,14.51
CUST0065,Manthan Ramanathan,56,Karnataka,Basic,999,2025-05-26,2025-12-26,1,2026-03-05,9,11.61
CUST0066,Upadhriti Khalsa,36,Delhi,Basic,399,2024-11-18,2025-06-04,1,2026-03-03,2,15.57
CUST0067,Ryan Lall,26,Karnataka,Premium,199,2025-06-06,2025-10-07,0,,6,5.14
CUST0068,Lila Chada,49,Karnataka,Basic,599,2025-05-10,2025-09-02,0,,6,16.09
CUST0069,Hemangini Sheth,49,Karnataka,Standard,199,2025-07-29,2025-12-12,1,2026-02-12,8,3.79
CUST0070,Janaki Singhal,62,Maharashtra,Standard,999,2024-05-05,2024-09-13,1,2025-05-02,6,6.38
CUST0071,Waida Bhatt,65,Maharashtra,Premium,999,2025-09-22,2026-01-06,0,,8,17.73
CUST0072,Yutika Karan,38,Delhi,Premium,999,2024-09-29,2026-02-16,1,2025-05-21,2,3.18
CUST0073,Sanaya Chandra,52,Delhi,Premium,599,2025-02-23,2025-12-24,1,2025-03-03,4,16.96
CUST0074,Kala Andra,63,Karnataka,Basic,399,2025-08-17,2025-08-20,1,2025-10-30,5,4.18
CUST0075,Daksh Patla,51,Delhi,Basic,999,2024-09-14,2025-09-01,0,,0,18.48
CUST0076,Tarak Pau,20,West Bengal,Premium,599,2025-10-06,2026-03-16,1,2026-03-02,0,11.28
CUST0077,Kai Sundaram,45,Karnataka,Premium,199,2024-11-27,2024-12-01,0,,9,1.59
CUST0078,Wakeeta Keer,55,Karnataka,Standard,199,2025-03-26,2025-10-22,0,,0,12.88
CUST0079,Saksham Shah,51,Maharashtra,Premium,399,2024-11-20,2026-03-21,1,2025-01-16,10,5.97
CUST0080,Qasim Srinivasan,65,Tamil Nadu,Premium,199,2024-10-01,2025-06-23,0,,4,4.1
CUST0081,Garima Reddy,61,Delhi,Basic,999,2025-01-07,2025-03-26,0,,0,18.14
CUST0082,Jeremiah Dave,56,Tamil Nadu,Standard,599,2024-11-07,2025-05-21,1,2025-11-01,4,16.35
CUST0083,Jeet Sandhu,19,Karnataka,Basic,199,2025-07-18,2025-08-22,1,2025-12-26,10,13.98
CUST0084,Bhavini Uppal,19,Maharashtra,Standard,199,2026-02-07,2026-03-04,1,2026-02-15,9,3.21
CUST0085,Abhiram Chaudhry,44,Karnataka,Basic,999,2025-02-07,2026-03-03,1,2025-07-08,4,14.66
CUST0086,Bahadurjit Sani,38,Delhi,Basic,999,2024-12-28,2026-02-05,1,2025-01-15,6,13.48
CUST0087,Tanvi Mannan,38,West Bengal,Basic,199,2024-10-18,2025-08-14,1,2025-08-30,4,6.27
CUST0088,Luke Sen,38,Delhi,Premium,199,2024-07-12,2025-11-02,1,2024-11-10,9,11.58
CUST0089,Raagini Ramaswamy,38,Karnataka,Basic,599,2024-09-10,2024-12-20,0,,5,3.06
CUST0090,Varsha Iyengar,35,Maharashtra,Premium,599,2024-08-15,2025-08-27,0,,3,13.1
CUST0091,Pahal Prabhu,34,Maharashtra,Premium,599,2025-06-26,2025-12-15,1,2025-12-15,1,15.84
CUST0092,Leena Bahl,22,West Bengal,Standard,399,2024-07-26,2026-01-25,1,2025-05-31,4,16.01
CUST0093,Yashasvi Dyal,49,Karnataka,Standard,599,2024-05-26,2025-10-14,0,,1,9.01
CUST0094,Dalbir Sachdeva,34,Karnataka,Standard,399,2025-06-06,2025-12-02,0,,2,4.95
CUST0095,Amol Pandit,52,Maharashtra,Standard,199,2024-08-06,2025-03-03,0,,7,7.65
CUST0096,Kavya Bir,20,Maharashtra,Premium,599,2024-11-29,2025-11-18,0,,8,8.72
CUST0097,Chaman Sachar,56,Maharashtra,Standard,199,2025-11-30,2026-03-03,0,,10,5.02
CUST0098,Harish Jayaraman,40,West Bengal,Standard,999,2025-06-23,2025-10-08,0,,7,7.6
CUST0099,Aditya Deo,51,Maharashtra,Basic,399,2025-01-04,2025-08-24,1,2026-01-29,7,12.45
CUST0100,Xavier Venkataraman,50,Maharashtra,Premium,599,2025-06-18,2025-10-30,0,,7,15.0
CUST0101,Geetika Sani,36,Maharashtra,Standard,599,2025-06-25,2025-11-12,1,2025-09-16,5,17.85
CUST0102,Guneet Pradhan,37,Delhi,Standard,399,2024-04-05,2025-08-05,1,2026-03-11,0,14.2
CUST0103,Abhiram Chauhan,37,West Bengal,Basic,599,2025-06-25,2025-12-13,0,,1,5.44
CUST0104,Ekanta Bhagat,34,Maharashtra,Premium,199,2025-08-17,2025-11-08,1,2025-09-09,3,19.66
CUST0105,Udyati Jhaveri,56,Karnataka,Premium,199,2025-05-09,2025-11-29,1,2026-01-20,8,12.43
CUST0106,Guneet Purohit,47,Karnataka,Premium,399,2025-01-29,2026-03-07,0,,2,17.8
CUST0107,Gautam Kothari,61,Karnataka,Premium,199,2025-03-24,2025-04-29,0,,4,16.5
CUST0108,Zaitra Shenoy,51,West Bengal,Basic,199,2024-04-10,2025-09-09,1,2026-01-21,8,13.85
CUST0109,Nihal Loke,23,West Bengal,Premium,599,2024-04-13,2024-05-10,0,,1,4.47
CUST0110,Advika Parsa,30,Karnataka,Standard,999,2025-07-04,2025-08-10,1,2026-01-01,2,5.93
CUST0111,Ubika Issac,37,Tamil Nadu,Standard,399,2025-09-27,2026-01-12,1,2026-02-24,7,17.2
CUST0112,Daksha Sachdev,34,West Bengal,Standard,399,2025-10-14,2026-01-31,1,2026-02-03,6,15.73
CUST0113,Balendra Vasa,65,Delhi,Premium,199,2024-11-12,2026-02-02,1,2025-09-27,5,2.25
CUST0114,Aarav Kari,64,Tamil Nadu,Premium,999,2025-10-22,2026-01-19,0,,6,4.63
CUST0115,Mitali Mukhopadhyay,47,Tamil Nadu,Premium,199,2024-10-02,2025-07-17,1,2025-12-06,4,9.37
CUST0116,Prisha Konda,28,West Bengal,Premium,999,2024-06-05,2024-10-28,0,,0,4.44
CUST0117,Christopher Mand,49,Maharashtra,Standard,199,2024-11-07,2025-10-05,0,,0,11.66
CUST0118,Dev Wali,59,Tamil Nadu,Basic,399,2025-06-14,2025-08-22,0,,10,15.55
CUST0119,Isaiah Sule,58,Tamil Nadu,Basic,599,2026-01-09,2026-02-12,0,,6,4.1
CUST0120,Frederick Balakrishnan,58,Karnataka,Premium,399,2025-09-02,2025-09-19,0,,1,14.02
CUST0121,Mason Kant,39,Delhi,Basic,199,2025-10-10,2026-01-20,1,2026-03-20,0,3.01
CUST0122,Ijaya Singh,58,Maharashtra,Basic,599,2024-09-13,2024-10-09,1,2024-10-24,0,13.69
CUST0123,Kevin Dutta,43,Tamil Nadu,Standard,599,2025-11-11,2026-01-16,0,,8,2.98
CUST0124,Tripti Murty,59,West Bengal,Premium,199,2024-12-11,2025-12-31,0,,5,12.67
CUST0125,Ati Pingle,30,West Bengal,Basic,399,2024-07-02,2025-04-03,0,,2,18.46
CUST0126,Ethan Khurana,45,Delhi,Standard,399,2024-10-10,2025-09-08,0,,4,18.79
CUST0127,Urvashi Varughese,46,Delhi,Premium,399,2024-12-19,2025-07-27,1,2025-09-27,4,11.61
CUST0128,Maya Raj,58,Tamil Nadu,Premium,599,2025-01-24,2025-11-17,0,,8,6.74
CUST0129,Hitesh Mahajan,40,Tamil Nadu,Basic,999,2026-01-31,2026-02-09,0,,4,19.49
CUST0130,Lopa Munshi,38,Karnataka,Basic,199,2025-03-27,2025-10-01,1,2025-06-29,8,3.07
CUST0131,Krishna Seth,37,Maharashtra,Standard,599,2024-04-28,2026-02-04,0,,7,2.22
CUST0132,Laksh Barad,45,Maharashtra,Premium,399,2025-07-09,2026-02-17,0,,6,2.6
CUST0133,Chandani Raghavan,25,Tamil Nadu,Basic,999,2025-08-20,2026-01-13,1,2025-12-27,4,16.65
CUST0134,Kalpit Atwal,35,Maharashtra,Premium,399,2025-07-09,2026-03-13,1,2026-03-09,0,18.77
CUST0135,Aradhana Sood,40,Karnataka,Standard,599,2024-04-28,2025-06-01,0,,0,1.44
CUST0136,Yash Srinivas,51,Maharashtra,Premium,599,2026-02-24,2026-03-07,1,2026-02-28,1,15.94
CUST0137,Robert Mallick,57,Delhi,Basic,199,2025-04-08,2025-07-29,1,2025-10-26,9,1.58
CUST0138,Shivansh Keer,61,Maharashtra,Premium,999,2024-05-08,2025-04-17,0,,1,3.4
CUST0139,Harrison Bose,53,Delhi,Basic,399,2026-01-17,2026-02-12,0,,5,17.05
CUST0140,Hitesh Sami,37,Delhi,Premium,599,2025-11-23,2026-01-02,0,,3,13.86
CUST0141,Balveer Zacharia,39,Delhi,Basic,999,2025-12-03,2026-03-27,0,,0,14.71
CUST0142,Inaya Sridhar,39,West Bengal,Basic,199,2025-02-24,2025-04-21,0,,6,3.09
CUST0143,Neelima Basu,22,Karnataka,Basic,399,2025-09-02,2026-01-07,0,,5,6.68
CUST0144,Nikita Nath,65,West Bengal,Premium,599,2025-06-05,2025-07-06,1,2025-09-17,5,16.67
CUST0145,Yashodhara Barad,33,Delhi,Standard,199,2025-01-30,2025-03-11,1,2025-04-16,2,19.44
CUST0146,Chanchal Narula,29,Maharashtra,Premium,199,2025-03-13,2025-06-25,1,2025-08-26,2,4.61
CUST0147,Urvashi Chaudhary,47,Maharashtra,Premium,399,2025-02-11,2025-07-27,1,2025-12-21,1,1.98
CUST0148,Vyanjana Palla,22,Maharashtra,Basic,599,2025-01-20,2025-05-22,1,2025-06-08,6,2.94
CUST0149,Timothy Krishnan,32,Delhi,Standard,199,2025-02-01,2026-01-23,0,,3,3.53
CUST0150,Teerth Dhar,41,Karnataka,Basic,399,2026-01-08,2026-03-13,1,2026-03-30,3,16.28
CUST0151,Faraj Hari,62,Delhi,Premium,199,2025-09-27,2026-01-16,0,,10,4.35
CUST0152,Bahadurjit Murthy,58,Maharashtra,Standard,599,2026-01-26,2026-02-19,0,,0,17.57
CUST0153,Jack Prabhu,42,Maharashtra,Basic,599,2025-10-16,2026-01-06,0,,7,17.32
CUST0154,Saksham Mukhopadhyay,39,Tamil Nadu,Standard,399,2025-01-30,2025-04-21,0,,8,1.74
CUST0155,Wahab Pingle,62,Tamil Nadu,Basic,999,2024-08-10,2026-01-05,1,2025-02-15,5,16.77
CUST0156,Vihaan Nagy,64,Delhi,Standard,399,2026-01-04,2026-02-27,0,,1,9.82
CUST0157,Wridesh Mukherjee,26,Maharashtra,Premium,599,2025-06-06,2025-07-17,0,,0,3.36
CUST0158,Harshil Nath,37,Delhi,Basic,999,2024-09-19,2024-11-13,1,2025-04-12,4,17.28
CUST0159,Krisha Viswanathan,31,West Bengal,Basic,399,2025-02-25,2025-12-05,1,2025-10-11,6,19.66
CUST0160,Falan Rout,21,West Bengal,Premium,999,2025-05-21,2025-05-27,1,2025-07-31,5,13.59
CUST0161,Chavvi Swamy,57,Maharashtra,Premium,599,2024-12-28,2025-08-03,0,,8,18.54
CUST0162,Amara Dua,61,West Bengal,Premium,599,2024-12-16,2026-02-04,1,2026-01-01,3,17.98
CUST0163,Ryan Basu,31,Delhi,Premium,599,2024-08-11,2026-01-17,1,2024-08-18,1,11.17
CUST0164,Aditya Sant,59,Tamil Nadu,Standard,399,2024-09-07,2026-03-29,0,,3,7.78
CUST0165,Triya Bali,50,Delhi,Premium,599,2025-07-15,2025-10-15,0,,7,4.43
CUST0166,Lila Krishnamurthy,42,West Bengal,Premium,599,2025-07-08,2025-09-18,0,,6,1.11
CUST0167,Nidra Deshmukh,46,Karnataka,Standard,599,2025-08-04,2025-10-09,0,,5,10.9
CUST0168,Nilima Gola,61,Maharashtra,Basic,599,2024-09-25,2025-01-03,1,2025-06-28,0,1.34
CUST0169,Radhika Dayal,58,Tamil Nadu,Basic,399,2024-09-29,2024-12-28,0,,5,15.91
CUST0170,Ishaan Mody,57,West Bengal,Premium,999,2024-12-20,2025-11-06,1,2025-06-26,3,3.94
CUST0171,Vamakshi Manda,24,Delhi,Premium,199,2024-11-08,2024-11-19,0,,7,12.08
CUST0172,Frado Sane,44,Maharashtra,Premium,199,2025-06-07,2025-10-23,1,2026-01-16,9,15.19
CUST0173,Zilmil Ram,58,West Bengal,Standard,399,2025-07-19,2025-12-13,1,2025-08-22,6,19.2
CUST0174,Amara Ravel,53,Karnataka,Premium,199,2025-02-09,2025-12-06,1,2025-06-24,5,14.48
CUST0175,Tara Toor,58,Karnataka,Basic,199,2025-04-05,2025-12-14,0,,2,4.9
CUST0176,Jagrati Mitter,51,Tamil Nadu,Basic,999,2024-12-23,2025-06-20,0,,2,18.5
CUST0177,Samesh Nori,31,Tamil Nadu,Basic,999,2024-04-17,2025-06-01,0,,3,19.48
CUST0178,Amrita Mital,56,Maharashtra,Basic,599,2024-04-20,2024-11-26,1,2025-02-06,0,19.3
CUST0179,Rajata Kala,22,Karnataka,Standard,399,2025-06-23,2025-07-30,1,2025-10-08,1,9.9
CUST0180,Dayamai Dua,41,Delhi,Basic,199,2024-12-24,2025-09-15,1,2026-02-21,7,16.71
CUST0181,Amrita Divan,54,Tamil Nadu,Premium,999,2025-02-09,2025-09-23,0,,4,11.19
