Customer_ID,Name,Age,Region,Plan_Type,Monthly_Fee,Signup_Date,Last_Active_Date,Churned,Churn_Date,Support_Tickets,Avg_Usage_Hours_per_Week,Churn,Customer_Lifetime,Tenure_Months,Signup_Month
CUST0001,Kashvi Patel,43,Karnataka,Standard,199,2024-10-05,2025-08-16,1,2025-06-21,7,7.17,1,315,10.5,2024-10
CUST0002,Karan Keer,54,Karnataka,Premium,999,2025-11-02,2026-03-02,1,2026-01-26,9,1.06,1,120,4.0,2025-11
CUST0003,Bhavini Kaul,47,West Bengal,Standard,999,2024-07-04,2025-04-25,0,,3,3.63,0,295,9.833333333333334,2024-07
CUST0004,Balhaar Chopra,49,Maharashtra,Basic,399,2024-10-28,2025-11-19,0,,10,11.84,0,387,12.9,2024-10
CUST0005,Hredhaan Vaidya,32,West Bengal,Premium,999,2024-06-04,2024-11-09,1,2026-03-10,10,8.83,1,158,5.266666666666667,2024-06
CUST0006,Banjeet Pathak,25,Karnataka,Standard,599,2024-05-20,2025-12-02,1,2025-07-03,8,8.89,1,561,18.7,2024-05
CUST0007,Amara Venkataraman,23,West Bengal,Basic,999,2025-03-25,2026-02-08,0,,5,17.13,0,320,10.666666666666666,2025-03
CUST0008,Aditya Saraf,24,Karnataka,Standard,599,2025-02-14,2025-11-03,1,2025-11-20,8,15.86,1,262,8.733333333333333,2025-02
CUST0009,Watika Sule,62,Tamil Nadu,Standard,999,2025-03-02,2026-02-26,0,,8,8.82,0,361,12.033333333333333,2025-03
CUST0010,Gunbir Sood,53,Karnataka,Standard,599,2024-05-16,2024-12-04,1,2024-09-06,8,9.43,1,202,6.733333333333333,2024-05
CUST0011,Priya Chokshi,21,Tamil Nadu,Premium,199,2026-01-29,2026-03-04,0,,3,2.92,0,34,1.1333333333333333,2026-01
CUST0012,Elijah Lata,29,Tamil Nadu,Basic,599,2025-06-09,2025-11-17,1,2025-10-05,4,5.33,1,161,5.366666666666666,2025-06
CUST0013,Garima Chahal,43,Delhi,Basic,399,2025-01-16,2025-11-13,1,2025-04-06,3,6.54,1,301,10.033333333333333,2025-01
CUST0014,Ishani Prabhu,18,Maharashtra,Basic,199,2025-04-09,2025-06-23,1,2025-08-17,9,3.47,1,75,2.5,2025-04
CUST0015,Praneel Hora,63,West Bengal,Standard,199,2026-02-19,2026-03-30,0,,4,7.43,0,39,1.3,2026-02
CUST0016,Rachita Dhar,60,West Bengal,Basic,199,2024-10-09,2025-05-18,1,2025-03-26,5,17.69,1,221,7.366666666666666,2024-10
CUST0017,Januja Sodhi,30,Maharashtra,Standard,399,2024-06-25,2025-02-07,0,,1,13.48,0,227,7.566666666666666,2024-06
CUST0018,Elijah Reddy,50,Maharashtra,Standard,599,2025-03-06,2025-05-27,0,,2,3.06,0,82,2.7333333333333334,2025-03
CUST0019,Hemal Chanda,60,Delhi,Standard,999,2024-10-04,2025-04-15,1,2025-03-17,5,4.23,1,193,6.433333333333334,2024-10
CUST0020,Zaitra Khanna,37,Tamil Nadu,Basic,999,2024-11-10,2025-09-07,1,2025-12-05,6,13.06,1,301,10.033333333333333,2024-11
CUST0021,Ishani Seshadri,39,Karnataka,Standard,999,2025-07-22,2025-11-29,1,2025-08-07,5,3.84,1,130,4.333333333333333,2025-07
CUST0022,Harshil Savant,23,Maharashtra,Standard,599,2025-01-18,2025-05-30,1,2026-02-18,6,14.75,1,132,4.4,2025-01
CUST0023,Urmi Mammen,56,Maharashtra,Basic,399,2024-10-24,2025-12-30,0,,8,17.97,0,432,14.4,2024-10
CUST0024,Hemang Patla,60,Maharashtra,Basic,599,2024-06-09,2024-12-06,1,2024-09-25,6,2.39,1,180,6.0,2024-06
CUST0025,Charita Sha,32,Maharashtra,Basic,399,2025-01-06,2025-08-08,0,,9,15.72,0,214,7.133333333333334,2025-01
CUST0026,Aashi Behl,42,Karnataka,Premium,399,2024-06-18,2024-08-21,0,,4,13.13,0,64,2.1333333333333333,2024-06
CUST0027,Yash Sehgal,65,Delhi,Premium,399,2024-07-14,2025-12-09,1,2024-12-27,0,4.49,1,513,17.1,2024-07
CUST0028,Oscar Bail,51,Delhi,Basic,399,2025-11-19,2025-12-16,0,,9,16.81,0,27,0.9,2025-11
CUST0029,Vedhika Arya,47,West Bengal,Premium,399,2024-06-01,2025-01-27,0,,2,9.39,0,240,8.0,2024-06
CUST0030,Pooja Oza,37,West Bengal,Standard,199,2025-04-27,2025-06-15,1,2025-08-21,2,12.6,1,49,1.6333333333333333,2025-04
CUST0031,Reva Magar,33,Maharashtra,Standard,199,2025-09-28,2025-11-16,0,,0,16.82,0,49,1.6333333333333333,2025-09
CUST0032,Madhavi Misra,64,Tamil Nadu,Basic,599,2025-09-08,2026-02-01,0,,1,3.24,0,146,4.866666666666666,2025-09
CUST0033,Rushil Wali,63,Delhi,Basic,199,2025-06-08,2025-11-17,1,2025-06-15,4,10.63,1,162,5.4,2025-06
CUST0034,Zaitra Mannan,31,Karnataka,Premium,199,2025-01-11,2026-01-14,1,2026-03-27,4,13.62,1,368,12.266666666666667,2025-01
CUST0035,Tristan Vasa,58,West Bengal,Basic,999,2024-10-22,2025-02-20,0,,9,18.31,0,121,4.033333333333333,2024-10
CUST0036,Andrew Thaman,26,Maharashtra,Standard,199,2025-02-08,2025-04-06,0,,10,14.63,0,57,1.9,2025-02
CUST0037,Nikita Madan,51,Maharashtra,Standard,599,2025-06-15,2025-11-19,0,,9,12.2,0,157,5.233333333333333,2025-06
CUST0038,Upkaar Khanna,42,Delhi,Basic,999,2024-08-23,2025-11-15,0,,4,18.44,0,449,14.966666666666667,2024-08
CUST0039,Adya Wadhwa,63,West Bengal,Standard,399,2025-03-10,2025-06-21,1,2025-03-23,7,12.14,1,103,3.433333333333333,2025-03
CUST0040,Upkaar Mutti,34,Maharashtra,Premium,999,2025-05-25,2025-06-09,1,2026-01-13,9,16.77,1,15,0.5,2025-05
CUST0041,Omya Parsa,37,Tamil Nadu,Premium,399,2025-06-23,2026-01-11,0,,0,9.5,0,202,6.733333333333333,2025-06
CUST0042,Dhriti Bora,37,Karnataka,Standard,599,2024-09-28,2025-03-07,0,,8,19.9,0,160,5.333333333333333,2024-09
CUST0043,Vasana Sama,47,West Bengal,Premium,599,2025-08-29,2026-02-17,1,2026-01-24,5,16.71,1,172,5.733333333333333,2025-08
CUST0044,Ekani Baral,57,Karnataka,Premium,199,2025-11-01,2026-03-02,1,2026-03-11,4,3.97,1,121,4.033333333333333,2025-11
CUST0045,Faqid Loke,28,Tamil Nadu,Basic,999,2024-05-01,2025-01-16,1,2024-12-08,6,5.12,1,260,8.666666666666666,2024-05
CUST0046,Garima Deshpande,20,Maharashtra,Premium,599,2024-07-03,2025-12-05,0,,4,19.81,0,520,17.333333333333332,2024-07
CUST0047,Udarsh Dhaliwal,64,Karnataka,Premium,199,2026-02-16,2026-03-25,0,,1,7.89,0,37,1.2333333333333334,2026-02
CUST0048,Zayan Vig,42,West Bengal,Premium,599,2024-11-02,2026-03-21,0,,10,5.39,0,504,16.8,2024-11
CUST0049,Ati Rau,62,West Bengal,Premium,999,2026-03-01,2026-03-04,0,,2,8.36,0,3,0.1,2026-03
CUST0050,Qarin Garg,49,Delhi,Premium,199,2025-08-31,2026-02-28,1,2026-01-05,5,8.92,1,181,6.033333333333333,2025-08
CUST0051,Mohini Sachar,44,West Bengal,Premium,399,2024-04-01,2025-05-10,1,2024-08-19,10,10.79,1,404,13.466666666666667,2024-04
